uid,consent,SII_1,SII_1_other,SII_1_reason,Date,Sow_date,SII_3_1,SII_3_2,SII_4_1,SII_4_2,SII_5,SII_6_1_UREA,SII_6_2_UREA,SII_6_3_UREA,SII_6_4_UREA,SII_7_1_UREA,SII_7_2_UREA,SII_7_3_UREA,SII_6_1_DAP,SII_6_2_DAP,SII_6_3_DAP,SII_6_4_DAP,SII_7_1_DAP,SII_7_2_DAP,SII_7_3_DAP,SII_6_1_MOP,SII_6_2_MOP,SII_6_3_MOP,SII_6_4_MOP,SII_7_1_MOP,SII_7_2_MOP,SII_7_3_MOP,SII_6_1_ZINC,SII_6_2_ZINC,SII_6_3_ZINC,SII_6_4_ZINC,SII_7_1_ZINC,SII_7_2_ZINC,SII_7_3_ZINC,SII_6_1_NPK_202020,SII_6_2_NPK_202020,SII_6_3_NPK_202020,SII_6_4_NPK_202020,SII_7_1_NPK_202020,SII_7_2_NPK_202020,SII_7_3_NPK_202020,SII_6_1_NPK_20200,SII_6_2_NPK_20200,SII_6_3_NPK_20200,SII_6_4_NPK_20200,SII_7_1_NPK_20200,SII_7_2_NPK_20200,SII_7_3_NPK_20200,SII_6_1_NPK_123216,SII_6_2_NPK_123216,SII_6_3_NPK_123216,SII_6_4_NPK_123216,SII_7_1_NPK_123216,SII_7_2_NPK_123216,SII_7_3_NPK_123216,FKT_1,FKT_2,FKT_3
B01V01F0001,Yes,Sowing,,,2018-08-09,2018-08-06,8.0,Bigha,1,Underground water,1,No,,,,,,,Yes,3,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very little use,
B01V01F0002,Yes,Sowing,,,2018-08-17,2018-07-03,2.0,Acre,1,Underground water,1,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V01F0004,Yes,Sowing,,,2018-08-16,2018-07-17,15.0,Bigha,1,Underground water,1,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,Yes,4,Bag,50 Kilogram,No,15,Bigha,Yes,Very useful,
B01V01F0005,Yes,Sowing,,,2018-08-20,2018-06-21,4.0,Bigha,1,Underground water,1,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V01F0006,Yes,Sowing,,,2018-08-10,2018-07-26,5.0,Acre,1,Rainfall,1,No,,,,,,,Yes,5,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Somewhat useful,
B01V01F0007,Yes,Sowing,,,2018-08-08,2018-06-09,12.0,Bigha,1,Underground water,1,No,,,,,,,Yes,6,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Useful,
B01V01F0008,Yes,Sowing,,,2018-08-07,2018-07-18,7.0,Bigha,1,Underground water,1,No,,,,,,,Yes,3,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Useful,NA
B01V01F0009,Yes,Sowing,,,2018-08-10,2018-07-01,4.0,Bigha,1,Underground water,1,No,,,,,,,Yes,1,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Useful,
B01V01F0010,Yes,Sowing,,,2018-08-08,2018-07-31,1.5,Bigha,1,Underground water,1,No,,,,,,,Yes,1,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,MARCHI  NI MAHITI JOYE CHE
B01V01F0011,Yes,Sowing,,,2018-08-17,2018-06-18,10.0,Bigha,1,Rainfall,1,No,,,,,,,Yes,4,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V01F0012,Yes,Sowing,,,2018-08-17,2018-06-18,9.0,Bigha,1,Rainfall,1,No,,,,,,,Yes,3.5,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
B01V01F0013,Yes,Sowing,,,2018-08-16,2018-06-17,5.0,Bigha,1,Rainfall,1,No,,,,,,,Yes,2,Bag,50 Kilogram,Yes,,,No,,,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Very useful,
