deviceid,subscriberid,simid,devicephonenum,intro,duration,uid,uid_confirm,surveyor,supervisor,date,time,date_v,time_v,time_a,f2_a1,f2_a2,f2_a2_1,f2_a3,note_2,note_3,note_4,note_5,f2_a4,note_6,note_7,success,note_8,f2_a5,f2_a7,end_time,note_10,formdef_version,key,submissiondate,starttime,endtime,date_a,f2_a6
351971070958266,,8991000901222570146,,,169,B04V47F1339,B04V47F1339,20.0,3,8-Mar-2019,11:20:14,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,Yes,,,2.661,11:35:21,,1902241727,uuid:00048e52-5b5d-4012-926e-c38d1d7e6345,,,,,
359940062782432,,89911283091600875966,,,213,B03V39F1160,B03V39F1160,19.0,4,27-Mar-2019,09:10:14,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,7.6,09:26:20,,1902241727,uuid:001a8c95-a53f-4683-9652-25ca76b1d49a,,,,,
359940062782432,,89911283091600875966,,,202,B03V36F1060,B03V36F1060,19.0,4,25-Mar-2019,12:11:50,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,6.3,12:21:14,,1902241727,uuid:001d4c7a-6fce-4747-a282-869ad42575c5,,,,,
351971070958266,,8991000901222570146,,,97,B04V53F1458,B04V53F1458,20.0,3,18-Mar-2019,12:12:03,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,8.911,12:13:03,,1902241727,uuid:002a6f00-5fb0-4c60-9776-634d12d592cd,,,,,
351971071022096,,,,,280,B03V31F0930,B03V31F0930,19.0,4,4-Apr-2019,11:06:39,Yes,Yes,,Yes,Yes,,Yes,,,,,Yes,,,Yes,,,6.2,11:07:12,,1902241727,uuid:005e7136-f32e-44af-bcea-915a5c566023,,,,,
351971070952178,,,,,104,B02V20F0607,B02V20F0607,25.0,5,16-Mar-2019,12:07:39,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,16.511,12:20:58,,1902241727,uuid:00613001-9fdb-44dd-a0e1-40ffd4b75342,,,,,
351971070952178,,,,,80,B02V15F0449,B02V15F0449,25.0,5,4-Mar-2019,11:02:25,Yes,Yes,,No,Yes,,Yes,,,,,Yes,,,Yes,,,14.366,11:30:56,,1902241727,uuid:01052c2c-437b-4c88-ac77-69cb89668bca,,,,,
869432027598171,,8991055171006387521f,,,303,B05V60F1680,B05V60F1680,15.0,2,9-Mar-2019,11:58:50,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,6.053,12:09:54,,1902241727,uuid:013d54de-05fb-4575-a256-c62b8760c907,,,,,
351971071174996,,,,,98,B02V15F0463,B02V15F0463,34.0,5,4-Mar-2019,13:23:11,Yes,Yes,,No,Yes,,Yes,,,,,No,,,Yes,,,5.524,13:43:37,,1902241727,uuid:0169e885-bf0a-4ed1-8f22-e02b1ce76173,,,,,
359940060386368,,,,,222,B01V01F0002,B01V01F0002,15.0,2,22-Feb-2019,15:08:19,Yes,Yes,,No,Yes,,No,,,,,,,,Yes,,,,15:18:47,,1902221101,uuid:01776033-f129-4819-928b-d1b56f87a9b2,,,,,
