uid,reject_why,consent,consent_no,cultivated_cotton,reported_area_bigha,reported_cotton_area,irrigation_el,harvested_cotton,number_harvests,yield_kg,nonsurveyed_plots,harv_nsplot,harv_all_nsplot_kg,aplots_count,harv_aplot,harv_all_aplot_kg,harv_total_kg,selling_cotton,cotton_sales,cotton_sold_kg,unsold_cotton,storage_locations,storage_own_house,storage_own_godown,storage_neighbor_godown,storage_market_warehouse,storage_other,storage_dk,other_storage_location,planned_sale_time_1,planned_sale_time_2,planned_sale_time_3,planned_sale_time_4,cotton_stored_kg,knowledge_1,knowledge_2,knowledge_3,knowledge_4,knowledge_5,knowledge_6_1,knowledge_6_2,knowledge_6_3,knowledge_6_4,knowledge_6_5,knowledge_6_1_1,knowledge_6_2_1,knowledge_6_3_1,knowledge_6_4_1,knowledge_6_5_1,knowledge_7_1,knowledge_7_2,knowledge_7_3,knowledge_7_4,knowledge_7_5,knowledge_7_6,knowledge_7_7,knowledge_7_8,knowledge_7_9,knowledge_7_10,info_tv,info_mobile_phone,info_gov_extension,info_ngo,info_farmers,info_agro_shops,info_traders,info_radio,info_krushi_mela,info_newspaper,info_other,other_info_source,trust_tv,trust_mobile_phone,trust_gov_extension,trust_ngo,trust_farmers,trust_agro_shops,trust_traders,trust_radio,trust_krushi_mela,trust_newspaper,trust_other,primary_info_source,other_primary_source,phone_info_sources,phone_info_kt,phone_info_iffco_kisaan,phone_info_reliance_foundation,phone_info_local_kvk,phone_info_dk,phone_info_other,other_phone_info,call_frequency,days_called,phone_service_start,willingness_to_experiment,experimented_2018,experiments_2018,expriment_bore_well,expriment_new_fertilizer,experiment_fert_quantity,experiment_pesticide,experiment_machinery,experiment_intercropping,experiment_seed_variety,experiment_drip_irrigation,experiment_organic,experiment_land_prep,experiment_new_crop,experiment_fencing,experiment_other,experiment_dk,experiment_refuse,other_experiment,exp_reason,exp_reason_observation,exp_reason_gov,exp_reason_subsidy,exp_reason_rec,exp_reason_info_source,exp_reason_self,exp_reason_other,exp_reason_dk,exp_reason_refuse,other_exp_reason,starttime,total_sale_revenue,expected_storage_revenue,total_sold_stored,mapped_surveyed_plot,consent_mapping,cotton_partial,mapping_complete,form_merge
B01V01F0001,,Yes,,Yes,,2.0,Yes,Yes,1.0,200.0,0.0,No,0.0,,No,0.0,200.0,Yes,1.0,200.0,No,,,,,,,,,,,,,0.0,,,DAP,Ammonium Sulphate/SSP/Gypsum/Chirodi,,No,No,No,No,No,,,,,,No,No,No,No,No,,,,,,No,Yes,No,No,Yes,No,No,No,No,No,No,,,low,,,low,,,,,,,,Potano anubhav,1,Yes,No,No,No,No,No,,,,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160.0,,200.0,Yes,Yes,No,Yes,matched (3)
B01V01F0002,,Yes,,Yes,,5.0,Yes,Yes,1.0,400.0,3.0,Yes,2140.0,,No,0.0,2540.0,Yes,1.0,2540.0,No,,,,,,,,,,,,,0.0,Nitrogen,,20-20-20,,Sulphur fertilizer,Yes,Yes,Yes,Yes,No,30 days after sowing,at the time of sowing with Basal fertilizers,at the time of sowing with Basal fertilizers,30 days after sowing,,No,No,No,No,No,,,,,,No,Yes,No,No,Yes,No,No,No,No,No,No,,,very low,,,medium,,,,,,,,Potano anubhav,1,Yes,No,No,No,No,No,,,,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,,2540.0,Yes,Yes,No,Yes,matched (3)
B01V01F0003,,No,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,master only (1)
B01V01F0004,,Yes,,Yes,,16.0,Yes,Yes,2.0,1600.0,2.0,Yes,2600.0,,No,0.0,4200.0,Yes,1.0,4200.0,No,,,,,,,,,,,,,0.0,Nitrogen,NPK grade fertilizer,,Ammonium Sulphate/SSP/Gypsum/Chirodi,Ammonium Sulphate/SSP/Gypsum/Chirodi,Yes,Yes,No,Yes,No,30 days after sowing,30 days after sowing,,,,No,No,No,No,No,,,,,,No,Yes,No,No,Yes,No,No,No,Yes,No,No,,,very high,,,high,,,,very high,,,mobile phone based information,,1,Yes,No,No,No,No,No,,,,,would try it immediately,Yes,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,,5,No,No,No,No,Yes,No,No,No,No,,,1075.0,,4200.0,Yes,Yes,Yes,Yes,matched (3)
B01V01F0005,,Yes,,Yes,,4.0,Yes,Yes,3.0,1200.0,0.0,No,0.0,,No,0.0,1200.0,Yes,1.0,1200.0,No,,,,,,,,,,,,,0.0,Nitrogen,DAP,20-20-20,None,none,No,Yes,Yes,No,No,,,at the time of sowing with Basal fertilizers,,,No,No,No,No,No,,,,,,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,,very low,low,,,medium,,,,medium,very low,,,Pote,1,Yes,No,No,No,No,No,,,,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,,1200.0,Yes,Yes,No,Yes,matched (3)
B01V01F0006,,Yes,,Yes,,12.5,Yes,Yes,4.0,4120.0,0.0,No,0.0,1.0,Yes,4800.0,8920.0,Yes,1.0,8920.0,No,,,,,,,,,,,,,0.0,,,DAP,DAP,,Yes,Yes,No,No,No,30 days after sowing,,,,,No,No,No,No,No,,,,,,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,,high,very high,,,very high,,,,medium,,,mobile phone based information,,1,Yes,No,No,No,No,No,,,,,would try it immediately,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101.0,,8920.0,Yes,No,,No,matched (3)
B01V01F0007,,Yes,,Yes,12.0,12.0,Yes,Yes,5.0,8000.0,2.0,Yes,3200.0,,No,0.0,11200.0,Yes,1.0,11200.0,No,,,,,,,,,,,,,0.0,Nitrogen,,DAP,Sulphur fertilizer,Sulphur fertilizer,Yes,Yes,Yes,No,No,,,,,,No,No,No,No,No,,,,,,No,Yes,No,No,Yes,Yes,No,No,No,No,No,,,medium,,,very high,very high,,,,,,,Potano anubhav,1,Yes,No,No,No,No,No,,,.,,would try it immediately,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,,11200.0,Yes,Yes,No,Yes,matched (3)
B01V01F0008,,Yes,,Yes,,7.0,No,Yes,2.0,800.0,3.0,Yes,2400.0,,No,0.0,3200.0,Yes,1.0,3200.0,No,,,,,,,,,,,,,0.0,Nitrogen,Murate of Potash (MOP),DAP,,,Yes,No,Yes,No,No,at the time of sowing with Basal fertilizers,,at the time of sowing with Basal fertilizers,,,No,No,No,No,No,,,,,,Yes,Yes,No,No,No,Yes,No,No,No,No,No,,low,medium,,,,medium,,,,,,,Pote,1,Yes,No,No,No,No,No,,,,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055.0,,3200.0,Yes,Yes,No,Yes,matched (3)
B01V01F0009,,Yes,,Yes,4.0,4.0,Yes,Yes,3.0,1400.0,0.0,No,0.0,,No,0.0,1400.0,Yes,1.0,1400.0,No,,,,,,,,,,,,,0.0,,,DAP,,,Yes,No,Yes,No,No,,,,,,No,No,No,No,No,,,,,,No,Yes,No,No,Yes,No,No,No,No,No,No,,,medium,,,very high,,,,,,,,Potano anubhav,1,Yes,No,No,No,No,No,,,.,,would try it after observing others and/or learning from other sources,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.0,,1400.0,Yes,No,,No,matched (3)
B01V01F0010,,Yes,,Yes,,2.0,Yes,Yes,2.0,160.0,3.0,Yes,1200.0,,No,0.0,1360.0,Yes,2.0,1360.0,No,,,,,,,,,,,,,0.0,,,DAP,Sulphur fertilizer,Ammonium Sulphate/SSP/Gypsum/Chirodi,No,Yes,No,No,No,,,,,,No,No,No,No,No,,,,,,No,Yes,No,No,No,Yes,No,No,No,No,No,,,very low,,,,very high,,,,,,agro dealers,,1,Yes,No,No,No,No,No,,,,,would try it immediately,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.0,,1360.0,Yes,Yes,Yes,Yes,matched (3)
