uid,Call_ID,Call_ID_new,call_topic,deliverystatus,duration,TotalDuration,Intro_dur,Recco_dur,Recco_repeat_dur
B05V68F1913,F10,F10_1,D4_Ir,Pickup,3.0,112,34,64,78
B06V72F2040,F10,F10_1,D4_Ir,Pickup,29.0,112,34,64,78
B02V16F0468,F10,F10_1,D4_Ir,Not Reachable,,112,34,64,78
B04V51F1427,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B02V18F0554,F10,F10_1,D4_Ir,,,112,34,64,78
B04V44F1267,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B01V05F0131,F10,F10_1,D4_Ir,Not Reachable,,112,34,64,78
B04V46F1312,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B02V24F0715,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B02V17F0526,F10,F10_1,D4_Ir,Pickup,4.0,112,34,64,78
B03V29F0874,F10,F10_1,D4_Ir,Not Reachable,,112,34,64,78
B01V08F0208,F10,F10_1,D4_Ir,Not Reachable,,112,34,64,78
B02V19F0585,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B05V62F1719,F10,F10_1,D4_Ir,Pickup,4.0,112,34,64,78
B06V80F2299,F10,F10_1,D4_Ir,Pickup,38.0,112,34,64,78
B02V18F0547,F10,F10_1,D4_Ir,Pickup,47.0,112,34,64,78
B06V77F2195,F10,F10_1,D4_Ir,Pickup,67.0,112,34,64,78
B02V19F0587,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B06V74F2089,F10,F10_1,D4_Ir,No Answer,,112,34,64,78
B01V08F0236,F10,F10_1,D4_Ir,Pickup,15.0,112,34,64,78
B02V17F0501,F10,F10_1,D4_Ir,Pickup,3.0,112,34,64,78
B04V46F1325,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B03V34F1015,F10,F10_1,D4_Ir,Not Reachable,,112,34,64,78
B05V65F1810,F10,F10_1,D4_Ir,Pickup,21.0,112,34,64,78
B01V08F0227,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B02V21F0644,F10,F10_1,D4_Ir,Pickup,121.0,112,34,64,78
B01V10F0294,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B05V57F1587,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B03V31F0925,F10,F10_1,D4_Ir,Pickup,5.0,112,34,64,78
B01V05F0135,F10,F10_1,D4_Ir,Pickup,6.0,112,34,64,78
B05V64F1783,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B02V24F0703,F10,F10_1,D4_Ir,Pickup,19.0,112,34,64,78
B02V15F0428,F10,F10_1,D4_Ir,Pickup,25.0,112,34,64,78
B01V01F0025,F10,F10_1,D4_Ir,Pickup,3.0,112,34,64,78
B04V52F1442,F10,F10_1,D4_Ir,Pickup,25.0,112,34,64,78
B03V35F1038,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B01V05F0124,F10,F10_1,D4_Ir,Pickup,121.0,112,34,64,78
B04V54F1501,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B06V75F2131,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B01V06F0166,F10,F10_1,D4_Ir,Pickup,92.0,112,34,64,78
B01V01F0010,F10,F10_1,D4_Ir,Pickup,6.0,112,34,64,78
B03V34F0992,F10,F10_1,D4_Ir,Pickup,80.0,112,34,64,78
B04V45F1284,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B04V55F1522,F10,F10_1,D4_Ir,Pickup,2.0,112,34,64,78
B05V57F1573,F10,F10_1,D4_Ir,Pickup,17.0,112,34,64,78
B01V10F0274,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B04V51F1426,F10,F10_1,D4_Ir,Not Reachable,,112,34,64,78
B06V69F1950,F10,F10_1,D4_Ir,Pickup,4.0,112,34,64,78
B04V51F1433,F10,F10_1,D4_Ir,Not Reachable,,112,34,64,78
B02V26F0775,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B06V81F2333,F10,F10_1,D4_Ir,,,112,34,64,78
B04V43F1238,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B04V55F1530,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B06V79F2274,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B06V70F1978,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B05V68F1900,F10,F10_1,D4_Ir,Pickup,5.0,112,34,64,78
B01V02F0039,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B01V08F0212,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B03V39F1150,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B06V73F2070,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B03V39F1158,F10,F10_1,D4_Ir,Not Reachable,,112,34,64,78
B03V27F0804,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B01V09F0252,F10,F10_1,D4_Ir,Pickup,41.0,112,34,64,78
B05V64F1794,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B06V71F2010,F10,F10_1,D4_Ir,Not Reachable,,112,34,64,78
B03V38F1121,F10,F10_1,D4_Ir,Not Reachable,,112,34,64,78
B04V50F1400,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B01V11F0321,F10,F10_1,D4_Ir,Pickup,3.0,112,34,64,78
B03V39F1156,F10,F10_1,D4_Ir,Pickup,2.0,112,34,64,78
B06V70F1956,F10,F10_1,D4_Ir,No Answer,,112,34,64,78
B01V06F0169,F10,F10_1,D4_Ir,Pickup,9.0,112,34,64,78
B01V04F0113,F10,F10_1,D4_Ir,Not Reachable,,112,34,64,78
B04V43F1230,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B03V39F1167,F10,F10_1,D4_Ir,Pickup,1.0,112,34,64,78
B06V75F2144,F10,F10_1,D4_Ir,Pickup,1.0,112,34,64,78
B04V51F1434,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B03V28F0842,F10,F10_1,D4_Ir,Not Reachable,,112,34,64,78
B02V24F0723,F10,F10_1,D4_Ir,Pickup,118.0,112,34,64,78
B02V21F0651,F10,F10_1,D4_Ir,Not Reachable,,112,34,64,78
B02V15F0446,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B03V32F0950,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B01V13F0379,F10,F10_1,D4_Ir,Pickup,14.0,112,34,64,78
B03V35F1026,F10,F10_1,D4_Ir,Pickup,9.0,112,34,64,78
B06V79F2251,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B05V65F1819,F10,F10_1,D4_Ir,No Answer,,112,34,64,78
B04V53F1471,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B03V35F1042,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B02V23F0690,F10,F10_1,D4_Ir,Pickup,5.0,112,34,64,78
B02V26F0795,F10,F10_1,D4_Ir,Pickup,8.0,112,34,64,78
B01V12F0356,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B06V80F2307,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B02V16F0478,F10,F10_1,D4_Ir,Pickup,121.0,112,34,64,78
B02V20F0605,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B01V07F0185,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B03V28F0841,F10,F10_1,D4_Ir,Pickup,26.0,112,34,64,78
B05V56F1558,F10,F10_1,D4_Ir,Pickup,121.0,112,34,64,78
B03V31F0935,F10,F10_1,D4_Ir,Pickup,32.0,112,34,64,78
B02V17F0514,F10,F10_1,D4_Ir,Pickup,3.0,112,34,64,78
B06V70F1980,F10,F10_1,D4_Ir,Pickup,11.0,112,34,64,78
B01V12F0354,F10,F10_1,D4_Ir,Not Reachable,,112,34,64,78
B04V53F1477,F10,F10_1,D4_Ir,Pickup,60.0,112,34,64,78
B05V64F1778,F10,F10_1,D4_Ir,Pickup,2.0,112,34,64,78
B03V27F0818,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B04V50F1409,F10,F10_1,D4_Ir,Pickup,84.0,112,34,64,78
B06V69F1931,F10,F10_1,D4_Ir,No Answer,,112,34,64,78
B03V34F1002,F10,F10_1,D4_Ir,Pickup,55.0,112,34,64,78
B02V17F0522,F10,F10_1,D4_Ir,Pickup,18.0,112,34,64,78
B06V77F2196,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
B02V20F0620,F10,F10_1,D4_Ir,Pickup,10.0,112,34,64,78
B04V43F1229,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B02V22F0671,F10,F10_1,D4_Ir,Pickup,89.0,112,34,64,78
B04V52F1437,F10,F10_1,D4_Ir,Pickup,50.0,112,34,64,78
B03V29F0879,F10,F10_1,D4_Ir,Not Reachable,,112,34,64,78
B05V64F1795,F10,F10_1,D4_Ir,Pickup,6.0,112,34,64,78
B02V21F0626,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B05V66F1852,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B01V02F0042,F10,F10_1,D4_Ir,No Answer,,112,34,64,78
B06V74F2097,F10,F10_1,D4_Ir,Pickup,2.0,112,34,64,78
B05V59F1637,F10,F10_1,D4_Ir,Pickup,120.0,112,34,64,78
B06V80F2285,F10,F10_1,D4_Ir,Pickup,119.0,112,34,64,78
