uid,broadcastdate,pickup,duration,lengthsec
B04V53F1476,12.06.2018,n,0,120
B04V53F1476,25.09.2018,y,58,58
B04V53F1476,08.08.2018,y,120,120
B04V53F1476,17.07.2018,y,90,90
B04V53F1476,18.09.2018,n,0,98
B04V53F1476,23.10.2018,y,28,28
B04V53F1476,28.08.2018,y,47,90
B04V53F1476,26.06.2018,y,90,90
B04V53F1476,19.06.2018,n,0,80
B04V53F1476,02.10.2018,y,29,72
B04V53F1476,14.08.2018,y,77,96
B04V53F1476,10.07.2018,y,80,80
B04V53F1476,04.09.2018,y,100,100
B04V53F1476,16.10.2018,y,64,64
B04V53F1476,31.07.2018,y,90,90
B04V53F1476,24.07.2018,y,29,82
B04V53F1476,11.09.2018,n,0,105
B04V53F1476,09.10.2018,y,76,76
B04V53F1476,03.07.2018,y,95,95
B04V53F1476,21.08.2018,y,115,115
B02V19F0564,09.10.2018,y,76,76
B02V19F0564,18.09.2018,y,98,98
B02V19F0564,04.09.2018,y,100,100
B02V19F0564,12.06.2018,y,120,120
B02V19F0564,25.09.2018,y,58,58
B02V19F0564,16.10.2018,y,13,64
B02V19F0564,23.10.2018,y,4,28
B02V19F0564,28.08.2018,y,90,90
B02V19F0564,17.07.2018,y,90,90
B02V19F0564,21.08.2018,y,115,115
B02V19F0564,08.08.2018,y,120,120
B02V19F0564,02.10.2018,y,72,72
B02V19F0564,19.06.2018,y,80,80
B02V19F0564,11.09.2018,y,105,105
B02V19F0564,26.06.2018,y,90,90
B02V19F0564,14.08.2018,y,96,96
B02V19F0564,10.07.2018,y,80,80
B02V19F0564,24.07.2018,y,82,82
B02V19F0564,03.07.2018,y,58,95
B02V19F0564,31.07.2018,y,90,90
B03V29F0870,10.07.2018,y,10,80
B03V29F0870,08.08.2018,y,5,120
B03V29F0870,18.09.2018,y,5,98
B03V29F0870,26.06.2018,y,16,90
B03V29F0870,21.08.2018,y,37,115
B03V29F0870,28.08.2018,y,54,90
B03V29F0870,17.07.2018,y,90,90
B03V29F0870,24.07.2018,y,12,82
B03V29F0870,16.10.2018,y,47,64
B03V29F0870,02.10.2018,y,4,72
B03V29F0870,03.07.2018,n,0,95
B03V29F0870,23.10.2018,y,28,28
B03V29F0870,14.08.2018,y,10,96
B03V29F0870,19.06.2018,y,80,80
B03V29F0870,31.07.2018,y,4,90
B03V29F0870,09.10.2018,y,4,76
B03V29F0870,25.09.2018,y,43,58
B03V29F0870,11.09.2018,y,5,105
B03V29F0870,12.06.2018,y,120,120
B03V29F0870,04.09.2018,y,7,100
B06V72F2031,28.08.2018,n,0,90
B06V72F2031,12.06.2018,y,18,120
B06V72F2031,26.06.2018,y,9,90
B06V72F2031,19.06.2018,y,80,80
B06V72F2031,08.08.2018,n,0,120
B06V72F2031,16.10.2018,n,0,64
B06V72F2031,18.09.2018,n,0,98
B06V72F2031,02.10.2018,n,0,72
B06V72F2031,17.07.2018,n,0,90
B06V72F2031,03.07.2018,y,7,95
B06V72F2031,11.09.2018,n,0,105
B06V72F2031,31.07.2018,n,0,90
B06V72F2031,10.07.2018,y,15,80
B06V72F2031,21.08.2018,n,0,115
B06V72F2031,04.09.2018,n,0,100
B06V72F2031,24.07.2018,n,0,82
B06V72F2031,09.10.2018,n,0,76
B06V72F2031,23.10.2018,n,0,28
B06V72F2031,25.09.2018,n,0,58
B06V72F2031,14.08.2018,n,0,96
B04V47F1336,02.10.2018,n,0,72
B04V47F1336,26.06.2018,n,0,90
B04V47F1336,09.10.2018,n,0,76
B04V47F1336,03.07.2018,n,0,95
B04V47F1336,19.06.2018,n,0,150
B04V47F1336,18.09.2018,n,0,98
B04V47F1336,10.07.2018,n,0,80
