uid,TreatmentStatus,tot_qs,tot_f,tot_no_f
B01V01F0002,C,2.0,,
B01V01F0007,C,1.0,,
B01V01F0008,C,1.0,,
B01V01F0010,T,1.0,,
B01V01F0011,C,4.0,,1.0
B01V01F0012,T,1.0,,
B01V01F0013,T,1.0,,
B01V01F0016,C,1.0,,
B01V01F0021,C,1.0,,
B01V01F0024,T,1.0,,
B01V01F0026,C,3.0,,
B01V01F0027,C,8.0,1.0,
B01V01F0029,T,2.0,,
B01V01F0030,C,2.0,,
B01V01F0031,C,1.0,,
B01V01F0033,T,1.0,,
B01V01F0034,T,4.0,,
B01V02F0040,C,3.0,,
B01V02F0041,C,2.0,,
B01V02F0042,T,2.0,,
B01V02F0046,C,3.0,,
B01V02F0052,T,1.0,,
B01V02F0060,T,4.0,,
B01V02F0061,T,1.0,,
B01V02F0063,C,1.0,,
B01V02F0064,T,1.0,,
B01V03F0066,T,2.0,,
B01V03F0067,C,1.0,,
B01V03F0076,C,4.0,,
B01V03F0077,T,3.0,,
B01V03F0079,C,1.0,,
B01V03F0080,C,1.0,,
B01V03F0081,C,2.0,,
B01V03F0086,C,2.0,,
B01V03F0087,C,1.0,,
B01V03F0089,C,1.0,,
B01V03F0091,C,14.0,,
B01V03F0093,C,1.0,,
B01V04F0097,T,1.0,,
B01V04F0102,C,3.0,,1.0
B01V05F0124,T,1.0,,
B01V05F0125,T,2.0,,
B01V05F0126,C,1.0,,
B01V05F0127,C,3.0,,
B01V05F0132,C,2.0,,
B01V05F0133,T,1.0,,
B01V05F0135,T,2.0,,
B01V05F0137,T,1.0,,
B01V05F0143,T,4.0,,
B01V05F0144,C,5.0,,
B01V05F0146,T,2.0,,
B01V05F0150,C,1.0,1.0,
B01V05F0151,T,2.0,,
B01V06F0153,T,1.0,,
B01V06F0156,T,3.0,2.0,
B01V06F0158,T,3.0,,
B01V06F0161,T,3.0,,
B01V06F0166,T,3.0,,2.0
B01V06F0169,T,1.0,,
B01V07F0173,C,3.0,,
B01V07F0178,C,1.0,,
B01V07F0179,C,3.0,,
B01V07F0180,C,4.0,,
B01V07F0184,C,1.0,,
B01V07F0185,T,1.0,,
B01V07F0186,T,2.0,,
B01V07F0188,T,1.0,,
B01V07F0191,C,2.0,,
B01V08F0205,T,6.0,,
B01V08F0206,C,9.0,,1.0
B01V08F0207,C,2.0,,
B01V08F0208,T,1.0,,
B01V08F0209,T,1.0,,
B01V08F0214,C,1.0,,
B01V08F0215,T,1.0,,
B01V08F0216,T,1.0,,
B01V08F0217,C,4.0,,
B01V08F0218,T,4.0,,
